Name,Address,Phone
PizzaExpress,"Off 100 Feet Road Appareddipalya, Bangalore",N/A
Pizza Hut,"First Cross Whitefield, Bangalore",07947143961
Pizza Artist,"5th Main Road HSR Layout, Bangalore",
Pizza 4p's,"12th Main Road Indira Nagar 2nd Stage, Bangalore",07947143863
Pizza Hut,"Veerasandra Industrial Area Electronic City, Bangalore",07942685482
Pizza Hut (Customer Care),Bangalore,18002022022
Pizza Hut,"Outer Ring Road Marathahalli, Bangalore",07947113775
Pizza Hut,"Bannerghatta Road, Bangalore",07947129233
Pizza Hut,"Varthur Road Whitefield, Bangalore",
Pizza Hut,"Coles Road Frazer Town, Bangalore",07947431378
