Name,Address,Phone
Pride Kitchen HYDERABADI BIRYANI,"Poonam Shrishti Mira Road East, Thane",07947140169
Biryani & Me,"Swastik Palms Thane West, Thane",07947150285
TBL - The Biryani Lovers,"Azad Nagar-Thane West, Thane",Show Number
Biryani Pro,"Thane West, Thane",Show Number
Sandy's Biryani,"Khoni, Thane",Show Number
Biryani'S Kitchen,"Runwal Gdns Road Manpada Kalyan, Thane",Show Number
Famous Biryaniwala,"Ns Fadke Marg Juhu Lane Andheri West, Mumbai",Show Number
Behrouz Biryani Malad Cb - Infinity,"Chincholi Bunder Road Malad West, Mumbai",
Heritage Yakhni Biryani,"Bamanpuri-Andheri East, Mumbai",Show Number
Taj Famous Dum Biryani Center,"Old Agra Road Thane West, Thane",07947142770
Bkc Biryani Kebab Curry,"Dandekar Colony-Panch Pakhadi-Thane West, Thane",07942686683
Charcoal Biryani,"Mahim, Mumbai",07947433054
Mehran Biryani,"Rabale, Navi Mumbai",
Maharashtra Biryani House,"Dr Dy Patil College Maval Talegaon Dabhade Ambi, Talegaon Dabhade",07942695571
Grill Masters Hydrabadi Dum Biryani In,"Limb/Talegaon Phata Tukaram Nagar New Anand Nagar, Talegaon Dabhade",07947135633
Shavar Biryani,"Maangir Baba Chowk Road Marunji, Pune",07947148411
Biryani Talkies,"Walhekar Wadi Road Ravet, Pune",07947413192
The Saga Kebabs Curries & Biryani,"Maan Road Hinjewadi, Pune",07947141262
Brio Biryani,"Hinjawadi Wakad Road Wakad, Pune",07947146112
Deggh Biryani,"Link Road Wakad, Pune",07947129963
